PM10,SO2,Nox,MONTH,WEEK,YEAR ,serial
105.23,9.5,24.25,JAN,1,2016,1
116.39,8.95,24.15,JAN,2,2016,2
113.52,9.31,24.88,JAN,3,2016,3
114.65,8.15,24.5,JAN,4,2016,4
116.98,8.18,24.13,JAN,5,2016,5
120,5.65,18.1,FEB,1,2016,6
129.89,7.66,18.58,FEB,2,2016,7
154.41,10.54,19.29,FEB,3,2016,8
171.75,10.5,17.31,FEB,4,2016,9
188,13.5,19.5,FEB,5,2016,10
145,10,24,mar,1,2016,11
153,8,24,mar,2,2016,12
216,9,24,mar,3,2016,13
213,9,23,mar,4,2016,14
119,10,19,mar,5,2016,15
128,7,14,apr,1,2016,16
80,8,16,apr,2,2016,17
106,8,14,apr,3,2016,18
50,6,14,apr,4,2016,19
111,9,18,apr,5,2016,20
87.05,6.75,15.5,may,1,2016,21
89.59,7.8,15.5,may,2,2016,22
76.94,5.2,13.45,may,3,2016,23
92.33,6.85,15.05,may,4,2016,24
74.03,5.37,12.75,may,5,2016,25
96.66,6,14.33,june,1,2016,26
84.63,6.25,14.16,june,2,2016,27
85.9,9.75,14.15,june,3,2016,28
97,6.9,15.5,june,4,2016,29
88,6.6,15.25,june,5,2016,30
82,5.25,14.5,jul,1,2016,31
63.4,8,14.37,jul,2,2016,32
78.91,10.13,15.21,jul,3,2016,33
79.1,7.9,14.55,jul,4,2016,34
83.66,8.13,14.63,jul,5,2016,35
84.9,7.6,17.1,aug,1,2016,36
76.6,7.75,16.65,aug,2,2016,37
73.75,8.25,18.13,aug,3,2016,38
84,8.08,17.33,aug,4,2016,39
77.5,7.8,16.83,aug,5,2016,40
85.22,7.75,16.75,sep,1,2016,41
81.18,6.45,15.2,sep,2,2016,42
74.73,7.06,16.12,sep,3,2016,43
58.16,6.75,15.75,sep,4,2016,44
61.7,6.75,16,sep,5,2016,45
54.5,7.25,16,oct,1,2016,46
58.5,6.58,15,oct,2,2016,47
58.5,6.87,14.87,oct,3,2016,48
77.62,6.31,14.43,oct,4,2016,49
62.02,6.87,15.36,oct,5,2016,50
70.67,8.34,17.5,nov,1,2016,51
58.55,9.78,16.88,nov,2,2016,52
63.5,9.17,1.58,nov,3,2016,53
97.89,11.22,19.33,nov,4,2016,54
88.66,11.25,18,nov,5,2016,55
150,11.17,17.5,dec,1,2016,56
68.55,11.61,19.78,dec,2,2016,57
87.11,12.39,19.33,dec,3,2016,58
99.44,8.22,17.39,dec,4,2016,59
97.11,8.66,17.33,dec,5,2016,60
99.33,8.83,19.33,JAN,1,2017,61
116.65,9.91,20.08,JAN,2,2017,62
119.55,6.05,18.11,JAN,3,2017,63
139.83,6.08,16.66,JAN,4,2017,64
128.67,7.17,16.83,JAN,5,2017,65
156.5,6,17.25,FEB,1,2017,66
158.5,7,16.83,FEB,2,2017,67
158.33,6.78,16.39,FEB,3,2017,68
149.11,7,18,FEB,4,2017,69
105.33,6.83,18,FEB,5,2017,70
184.33,7.58,17.42,mar,1,2017,71
176.11,7.27,16.11,mar,2,2017,72
202,7.67,16.92,mar,3,2017,73
153.11,7.39,17.83,mar,4,2017,74
158.11,7.77,18.11,mar,5,2017,75
,,,apr,1,2017,76
71.55,6.94,16.94,apr,2,2017,77
176.6,8.25,18.08,apr,3,2017,78
136.5,7.66,16.66,apr,4,2017,79
113.84,6.22,17.44,apr,5,2017,80
152.16,6.9,18.67,may,1,2017,81
125,7.08,17,may,2,2017,82
128.55,7.66,17,may,3,2017,83
96.55,6.5,18.45,may,4,2017,84
92,7.42,17.5,may,5,2017,85
70.57,6.17,15.17,june,1,2017,86
96.55,6.72,16.77,june,2,2017,87
46.05,7.05,16.16,june,3,2017,88
57.33,5.66,14.72,june,4,2017,89
49.5,7.5,16.65,june,5,2017,90
,,,jul,1,2017,91
44.22,6.72,14.72,jul,2,2017,92
73.33,5.38,15.55,jul,3,2017,93
82,5.5,13.33,jul,4,2017,94
68.91,5.62,12.46,jul,5,2017,95
63.5,6.5,14,aug,1,2017,96
91,5.66,13.33,aug,2,2017,97
56.66,6.33,14.33,aug,3,2017,98
63,7,15.5,aug,4,2017,99
59,7,15,aug,5,2017,100
51,7,16,sep,1,2017,101
64.33,7,15.33,sep,2,2017,102
99,7,15.5,sep,3,2017,103
80.66,6.66,15.33,sep,4,2017,104
62.66,6.33,15.33,sep,5,2017,105
73,7,16,oct,1,2017,106
66.25,6.25,15.75,oct,2,2017,107
79.66,6,15,oct,3,2017,108
81.33,6.33,16.33,oct,4,2017,109
75,7,16,oct,5,2017,110
81.5,7,15.5,nov,1,2017,111
82.33,7.66,17.66,nov,2,2017,112
81,6,15.66,nov,3,2017,113
104,9,19.5,nov,4,2017,114
79.5,10,22.5,nov,5,2017,115
121,10,23,dec,1,2017,116
114.33,11.66,23.66,dec,2,2017,117
132.33,11,21.33,dec,3,2017,118
144.66,10,19.33,dec,4,2017,119
144.5,9,17.5,dec,5,2017,120
117.33,10.66,21,JAN,1,2018,121
132.33,9,19,JAN,2,2018,122
93.33,9,21,JAN,3,2018,123
118.5,7.5,20.5,JAN,4,2018,124
145,7,18,JAN,5,2018,125
,,,mar,1,2018,126
159.33,8.33,19.66,mar,2,2018,127
159.66,6.66,18,mar,3,2018,128
140.33,8.66,19.66,mar,4,2018,129
116.5,7.5,21,mar,5,2018,130
122,8,18.66,apr,1,2018,131
65,7.33,17,apr,2,2018,132
102,6.5,15.5,apr,3,2018,133
80,7.33,16.33,apr,4,2018,134
,,,apr,5,2018,135
62.5,8.5,22,may,1,2018,136
62.33,10.66,23.66,may,2,2018,137
72.66,12,21.33,may,3,2018,138
50.33,12.66,30,may,4,2018,139
60,11,17,may,5,2018,140
32,8,21,june,1,2018,141
51,8.66,22.66,june,2,2018,142
48.33,9.66,21.33,june,3,2018,143
48.33,7.33,16,june,4,2018,144
53.33,6.33,16.66,june,5,2018,145
48.66,5.66,14,jul,1,2018,146
44,5.33,15.66,jul,2,2018,147
50,6.5,17,jul,3,2018,148
40,4.5,12,jul,4,2018,149
33,6,18,jul,5,2018,150
32,5.5,13,aug,1,2018,151
31.33,0.66,14.66,aug,2,2018,152
61,6,17,aug,3,2018,153
39.5,6.5,15.5,aug,4,2018,154
37,6.5,13.5,aug,5,2018,155
,,,sep,1,2018,156
41,6.5,18,sep,2,2018,157
66.33,6,18,sep,3,2018,158
41.5,6,13,sep,4,2018,159
46.66,6,16.66,sep,5,2018,160
61.66,5.66,18.33,oct,1,2018,161
42.66,5.66,14.33,oct,2,2018,162
74,6,14,oct,3,2018,163
68.33,7.66,12.66,oct,4,2018,164
70.5,6,12.5,oct,5,2018,165
90,6,15.5,nov,1,2018,166
103.5,7.25,16.5,nov,2,2018,167
92.66,92.66,17,nov,3,2018,168
105,7.5,19.5,nov,4,2018,169
79,6.33,16,nov,5,2018,170
,,,dec,1,2018,171
93.5,5,17,dec,2,2018,172
130,7.33,17.33,dec,3,2018,173
85.33,8,16.66,dec,4,2018,174
107.25,8,16.75,dec,5,2018,175
92,6,14.5,JAN,1,2019,176
110.33,6,13,JAN,2,2019,177
115,7,18,JAN,3,2019,178
114,8,18.5,JAN,4,2019,179
120.5,9,17,JAN,5,2019,180
107,11,21,FEB,1,2019,181
127.66,9.33,19.33,FEB,2,2019,182
111.33,6.66,20,FEB,3,2019,183
100.66,7,17.33,FEB,4,2019,184
105.5,6,17.5,FEB,5,2019,185
92,7,16,mar,1,2019,186
103.66,7.66,17.66,mar,2,2019,187
126,7.33,18,mar,3,2019,188
115.5,6.5,19.5,mar,4,2019,189
120,7,18.33,mar,5,2019,190
79.33,7.33,16.66,apr,1,2019,191
86.66,7.66,19.66,apr,2,2019,192
103,7,17,apr,3,2019,193
98.33,8,18,apr,4,2019,194
36,9,19,apr,5,2019,195
,,,may,1,2019,196
39.5,6.5,17.5,may,2,2019,197
57,7.75,16.5,may,3,2019,198
53.66,6.66,14.66,may,4,2019,199
41.75,6.75,18.75,may,5,2019,200
,,,june,1,2019,201
38.33,7,14.66,june,2,2019,202
32,6.33,14,june,3,2019,203
60,6.66,14,june,4,2019,204
51.33,8,15.33,june,5,2019,205
29.33,6,14,jul,1,2019,206
19.66,6,13.33,jul,2,2019,207
38.33,5.33,13.66,jul,3,2019,208
30,6,14.33,jul,4,2019,209
42,6,13,jul,5,2019,210
32,5.5,13,aug,1,2019,211
31.33,6.66,14.66,aug,2,2019,212
61,6,17,aug,3,2019,213
39.5,6.5,15.5,aug,4,2019,214
37,6.5,13.5,aug,5,2019,215
32.33,6.66,13,sep,1,2019,216
30,6,12.66,sep,2,2019,217
60.33,6.33,13.33,sep,3,2019,218
43.66,6,13,sep,4,2019,219
26,5,13,sep,5,2019,220
40,6,13,oct,1,2019,221
55,6.5,14,oct,2,2019,222
42.5,6,14.5,oct,3,2019,223
61.6,6,14,oct,4,2019,224
99,7,14.5,oct,5,2019,225
63,7,15,nov,1,2019,226
42,7,15,nov,2,2019,227
57,7,15,nov,3,2019,228
73,6.66,15.33,nov,4,2019,229
70.66,6.66,15,nov,5,2019,230
82,7,16,dec,1,2019,231
102,6,13.5,dec,2,2019,232
116,6.33,13.66,dec,3,2019,233
113.5,7.5,12.5,dec,4,2019,234
113,7,12,dec,5,2019,235
